NM_VOTAVEL;NR_ZONA;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;NM_MUNICIPIO;QT_VOTOS_TOTAL;LATITUDE;LONGITUDE
AMANDA BRANDAO ARMELAU;4;ALIANÇA FRANCESA DE BOTAFOGO;RUA MUNIZ BARRETO 746 / 746-A;RIO DE JANEIRO;6;-229.482.419;-431.843.623
AMANDA BRANDAO ARMELAU;4;CASA DA CRIANÇA;RUA FERNANDES GUIMARAES 85;RIO DE JANEIRO;19;-229.558.466;-4.318.172.190.000.000
AMANDA BRANDAO ARMELAU;4;CASA DE RUI BARBOSA;RUA SÃO CLEMENTE 134;RIO DE JANEIRO;11;-229.488.011;-431.870.261
AMANDA BRANDAO ARMELAU;4;CASA DO COMÉRCIO (FECOMÉRCIO/ SENAC RIO/ SESC RIO);RUA MARQUÊS DE ABRANTES, 99;RIO DE JANEIRO;32;-229.366.769;-431.771.096
AMANDA BRANDAO ARMELAU;4;CENTRO UNIVERSITÁRIO UNIVERITAS;RUA MARQUÊS DE ABRANTES, 55;RIO DE JANEIRO;35;-229.356.754;-431.768.933
AMANDA BRANDAO ARMELAU;4;CIEP - HUMAITÁ;RUA HUMAITÁ S/N;RIO DE JANEIRO;28;-229.592.712;-431.997.525
AMANDA BRANDAO ARMELAU;4;COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE;RUA GENERAL POLIDORO, 36;RIO DE JANEIRO;41;-229.526.575;-431.832.096
AMANDA BRANDAO ARMELAU;4;COLEGIO PEDRO II (PEDRAO);RUA HUMAITÁ, 80;RIO DE JANEIRO;35;-229.559.933;-43.198.502
AMANDA BRANDAO ARMELAU;4;COLÉGIO IMACULADA CONCEIÇÃO;PRAIA DE BOTAFOGO 266;RIO DE JANEIRO;28;-229.435.254;-431.821.375
AMANDA BRANDAO ARMELAU;4;COLÉGIO PENSI;RUA MARQUÊS DE ABRANTES, 55;RIO DE JANEIRO;58;-229.352.776;-43.176.873
AMANDA BRANDAO ARMELAU;4;COLÉGIO SANTO INÁCIO;RUA SÃO CLEMENTE, 226;RIO DE JANEIRO;22;-229.488.269;-431.903.866
AMANDA BRANDAO ARMELAU;4;CÍRCULO MILITAR DA PRAIA VERMELHA;PRAÇA GENERAL TIBÚRCIO S/N;RIO DE JANEIRO;26;-229.563.171;-431.651.151
AMANDA BRANDAO ARMELAU;4;ESCOLA ADVENTISTA BOTAFOGO;RUA DA MATRIZ, 16;RIO DE JANEIRO;9;-229.510.577;-4.319.291.399.999.990
AMANDA BRANDAO ARMELAU;4;ESCOLA ALEMÃ CORCOVADO;RUA SÃO CLEMENTE, 388;RIO DE JANEIRO;21;-229.512.252;-431.946.372
AMANDA BRANDAO ARMELAU;4;ESCOLA BRITÂNICA;AVENIDA PASTEUR 429;RIO DE JANEIRO;5;-229.536.679;-431.692.293
AMANDA BRANDAO ARMELAU;4;ESCOLA DINAMIS;RUA BAMBINA 59;RIO DE JANEIRO;12;-229.454.547;-431.852.838
AMANDA BRANDAO ARMELAU;4;ESCOLA ELEVA;RUA GENERAL SEVERIANO, 159;RIO DE JANEIRO;13;-229.544.208;-431.792.303
AMANDA BRANDAO ARMELAU;4;ESCOLA JOAQUIM NABUCO;RUA DONA MARIANA 148;RIO DE JANEIRO;21;-22.954.585;-431.886.243
AMANDA BRANDAO ARMELAU;4;ESCOLA MEXICO;RUA DA MATRIZ 67;RIO DE JANEIRO;7;-229.526.215;-431.916.878
AMANDA BRANDAO ARMELAU;4;ESCOLA MUNICIPAL JOÃO SALDANHA;RUA DA PASSAGEM, 104;RIO DE JANEIRO;15;-229.538.316;-431.817.834
AMANDA BRANDAO ARMELAU;4;ESCOLA MUNICIPAL PRESIDENTE ARTHUR DA COSTA E SILVA;RUA ASSUNCAO 257;RIO DE JANEIRO;12;-229.455.021;-431.866.345
AMANDA BRANDAO ARMELAU;4;ESCOLA OLM/BOTAFOGO;RUA VISCONDE DE CARAVELAS, 48;RIO DE JANEIRO;32;-229.562.425;-431.934.954
AMANDA BRANDAO ARMELAU;4;FUNDACAO GETULIO VARGAS;PRAIA DE BOTAFOGO 186;RIO DE JANEIRO;26;-229.412.426;-431.793.329
AMANDA BRANDAO ARMELAU;4;INSTITUTO BENJAMIN CONSTANT;AV. PASTEUR, 350;RIO DE JANEIRO;16;-229.532.793;-43.172.008
AMANDA BRANDAO ARMELAU;4;INSTITUTO BRASIL ESTADOS UNIDOS;RUA VISCONDE DE OURO PRETO 36;RIO DE JANEIRO;6;-229.458.339;-431.835.642
AMANDA BRANDAO ARMELAU;4;INSTITUTO DOS ARQUITETOS DO BRASIL;RUA DO PINHEIRO, 10;RIO DE JANEIRO;16;-229.300.866;-431.761.162
AMANDA BRANDAO ARMELAU;4;INSTITUTO NOSSA SENHORA DA PIEDADE;RUA FERNANDO OSORIO, 20;RIO DE JANEIRO;30;-229.365.201;-431.764.377
AMANDA BRANDAO ARMELAU;4;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO UNI-RIO;AV. PASTEUR, 296;RIO DE JANEIRO;12;-229.529.175;-431.732.069
AMANDA BRANDAO ARMELAU;5;1/2 - CLUBE ISRAELITA BRASILEIRO (CIB) - BR 489;RUA BARATA RIBEIRO, 489,;RIO DE JANEIRO;19;-229.699.892;-431.875.982
AMANDA BRANDAO ARMELAU;5;1/2 - COLÉGIO SAGRADO CORAÇÃO DE MARIA - T 56;RUA TONELERO, 56,;RIO DE JANEIRO;21;-229.640.269;-431.824.404
AMANDA BRANDAO ARMELAU;5;1/2 - ESCOLA MUNICIPAL DOUTOR CÓCIO BARCELLOS - BI 34;RUA BARAO DE IPANEMA, 34,;RIO DE JANEIRO;22;-22.974.827;-431.890.711
AMANDA BRANDAO ARMELAU;5;1/2 - HOTEL OTHON PALACE - A 3264 - ANTIGO SANTANDER NSC 804;AVENIDA  ATLANTICA, 3264;RIO DE JANEIRO;5;-229.774.183;-431.891.854
AMANDA BRANDAO ARMELAU;5;1/2 - IGREJA NOSSA SENHORA DE COPACABANA - HG 36;RUA HILARIO DE GOUVEIA, 36,;RIO DE JANEIRO;10;-229.690.683;-431.832.631
AMANDA BRANDAO ARMELAU;5;1/2 - PENSI - COLEGIO E CURSO - BI 85;RUA BARÃO DE IPANEMA, N 85;RIO DE JANEIRO;22;-229.747.105;-431.908.622
AMANDA BRANDAO ARMELAU;5;1/2 ESCOLA MUNICIPAL SENADOR ALENCASTRO GUIMARÃES - PÇ CAV;PRAÇA CARDEAL ARCOVERDE, S/N,;RIO DE JANEIRO;20;-229.675.969;-431.979.383
AMANDA BRANDAO ARMELAU;5;2/2 - CLUBE ISRAELITA BRASILEIRO -CIB - BR 489 - ANTIGO ITAÚ - SCA 143;RUA BARATA RIBEIRO , N 489;RIO DE JANEIRO;3;-229.699.892;-431.875.982
AMANDA BRANDAO ARMELAU;5;2/2 - COLÉGIO SAGRADO CORAÇÃO DE MARIA - T 56 - ANTIGO ITAÚ - NSC 387;RUA TONELERO, N 56;RIO DE JANEIRO;2;-229.640.269;-431.824.404
AMANDA BRANDAO ARMELAU;5;2/2 - E M DOUTOR CÓCIO BARCELLOS - BI 34 - ANTIGO BB - NSC 890;RUA BARÃO DE IPANEMA, N 34;RIO DE JANEIRO;2;-22.974.827;-431.890.711
AMANDA BRANDAO ARMELAU;5;2/2 - E M SENADOR ALENCASTRO GUIMARÃES -  ANTIGO AF;PRAÇA CARDEAL ARCOVERDE, S/N;RIO DE JANEIRO;4;-229.675.969;-431.979.383
AMANDA BRANDAO ARMELAU;5;2/2 - HOTEL OTHON PALACE - A 3264 - ANTIGO BANRISUL NSC 827;AVENIDA  ATLANTICA, 3264;RIO DE JANEIRO;11;-229.774.183;-431.891.854
AMANDA BRANDAO ARMELAU;5;2/2 - IGREJA N SENHORA DE COPACABANA - HG 36 - EX BRADESCO - NSC 581;RUA HILÁRIO DE GOUVEIA, N 36;RIO DE JANEIRO;7;-229.690.683;-431.832.631
AMANDA BRANDAO ARMELAU;5;2/2 - PENSI - COLEGIO E CURSO - BI 85 - ANTIGO BANCO BRASIL - NSC 890;RUA BARÃO DE IPANEMA, N 85;RIO DE JANEIRO;10;-229.747.105;-431.908.622
AMANDA BRANDAO ARMELAU;5;BANCO BRADESCO - BR 255;RUA BARATA RIBEIRO 255;RIO DE JANEIRO;11;-229.663.587;-43.181.998
AMANDA BRANDAO ARMELAU;5;BANCO BRADESCO - CR 29;RUA CONSTANTE RAMOS, 29,;RIO DE JANEIRO;11;-229.744.883;-431.885.112
AMANDA BRANDAO ARMELAU;5;BANCO BRADESCO - NSC 1018;AV. NOSSA SENHORA DE COPACABANA, 1018-A,;RIO DE JANEIRO;8;-229.773.213;-431.907.211
AMANDA BRANDAO ARMELAU;5;BANCO BRADESCO - NSC 120;AVENIDA NOSSA SENHORA DE COPACABANA, 120,;RIO DE JANEIRO;8;-229.642.659;-431.754.602
AMANDA BRANDAO ARMELAU;5;BANCO BRADESCO - SCA 96;RUA SIQUEIRA CAMPOS, 96,;RIO DE JANEIRO;6;-229.667.914;-4.318.629.180.000.000
AMANDA BRANDAO ARMELAU;5;BANCO DO BRASIL - NSC 594;AV. NOSSA SENHORA DE COPACABANA, 594,;RIO DE JANEIRO;3;-229.694.182;-431.853.633
AMANDA BRANDAO ARMELAU;5;BANCO ITAÚ - BR 573;RUA BARATA RIBEIRO, 573,;RIO DE JANEIRO;4;-22.971.645;-4.318.928.349.999.990
AMANDA BRANDAO ARMELAU;5;BANCO ITAÚ - BRO 146;RUA BELFORD ROXO, 146,;RIO DE JANEIRO;4;-229.643.971;-431.756.767
AMANDA BRANDAO ARMELAU;5;BANCO ITAÚ - NSC 1120;AV. NOSSA SENHORA DE COPACABANA, 1120 A - PRAÇA;RIO DE JANEIRO;13;-229.796.584;-4.319.118.539.999.990
AMANDA BRANDAO ARMELAU;5;BANCO ITAÚ - NSC 44;AV. NOSSA SENHORA DE COPACABANA, 44-A,;RIO DE JANEIRO;1;-229.634.138;-431.735.876
AMANDA BRANDAO ARMELAU;5;BANCO ITAÚ - NSC 581;AV. NOSSA SENHORA DE COPACABANA, 581-A,;RIO DE JANEIRO;2;-229.694.031;-43.184.629
AMANDA BRANDAO ARMELAU;5;BANCO ITAÚ - NSC 730;AV. NOSSA SENHORA DE COPACABANA, 730,;RIO DE JANEIRO;2;-229.723.595;-431.876.384
AMANDA BRANDAO ARMELAU;5;BANCO ITAÚ - NSC 921;AV. NOSSA SENHORA DE COPACABANA, 921,;RIO DE JANEIRO;7;-229.757.414;-4.318.971.500.000.000
AMANDA BRANDAO ARMELAU;5;BANCO SANTANDER - NSC 599;AV. NOSSA SENHORA DE COPACABANA,  599,;RIO DE JANEIRO;10;-229.701.125;-4.318.529.480.000.000
AMANDA BRANDAO ARMELAU;5;BANCO SANTANDER - NSC 862;AV. NOSSA SENHORA DE COPACABANA, 862;RIO DE JANEIRO;11;-22.974.186;-431.893.586
AMANDA BRANDAO ARMELAU;5;CAIXA ECONOMICA FEDERAL - NSC 861;AV. NOSSA SENHORA DE COPACABANA, 861,;RIO DE JANEIRO;10;-229.745.544;-431.889.617
AMANDA BRANDAO ARMELAU;5;CAIXA ECONOMICA FEDERAL - SCA 34;RUA SIQUEIRA CAMPOS, 34,;RIO DE JANEIRO;8;-229.685.572;-431.846.976
AMANDA BRANDAO ARMELAU;5;CAIXA ECONÔMICA FEDERAL - BR 222;RUA BARATA RIBEIRO, 222,;RIO DE JANEIRO;5;-229.654.436;-4.318.128.890.000.000
AMANDA BRANDAO ARMELAU;5;CENTRO DE ESTUDOS DE JOVENS E ADULTOS (CEJA) - BR 433;RUA BELFORT ROXO, 433,;RIO DE JANEIRO;7;-229.928.759;-432.518.018
AMANDA BRANDAO ARMELAU;5;CENTRO ESCOLAR COPACABANA - DR 80;RUA DIAS DA ROCHA, 80,;RIO DE JANEIRO;4;-22.971.656;-43.190.386
AMANDA BRANDAO ARMELAU;5;CENTRO MUNICIPAL DE SAÚDE JOÃO BARROS BARRETO - TA;RUA TENREIRO ARANHA, S/N,;RIO DE JANEIRO;4;-229.671.432;-431.873.121
AMANDA BRANDAO ARMELAU;5;CLUBE OLYMPICO - PL 116;RUA POMPEU LOUREIRO, 116,;RIO DE JANEIRO;16;-229.750.369;-431.934.029
AMANDA BRANDAO ARMELAU;5;COLEGIO ESTADUAL INFANTE DOM HENRIQUE - BRO 433;RUA BELFORT ROXO, 433,;RIO DE JANEIRO;23;-229.620.554;-431.772.797
AMANDA BRANDAO ARMELAU;5;COLEGIO MALLET SOARES - B 121;RUA BOLÍVAR, 121,;RIO DE JANEIRO;26;-229.759.549;-431.918.045
AMANDA BRANDAO ARMELAU;5;COLÉGIO ESTADUAL PEDRO ÁLVARES CABRAL - RP 104;RUA REPÚBLICA DO PERU, 104,;RIO DE JANEIRO;21;-229.677.486;-43.181.076
AMANDA BRANDAO ARMELAU;5;COLÉGIO PINHEIRO GUIMARÃES - HG 43;RUA HILÁRIO DE GOUVEIA, 43,;RIO DE JANEIRO;4;-229.683.097;-431.841.346
AMANDA BRANDAO ARMELAU;5;CRECHE CRIATIVA - HO 155;RUA HENRIQUE OSWALD, 155;RIO DE JANEIRO;10;-229.646.109;-431.925.765
AMANDA BRANDAO ARMELAU;5;CRECHE PRIMEIRA CLASSE - CJ 82;RUA CINCO DE JULHO, 82,;RIO DE JANEIRO;7;-229.701.493;-431.895.966
AMANDA BRANDAO ARMELAU;5;CULTURA INGLESA - NSC 619;AV. NOSSA SENHORA DE COPACABANA, 619, SL,;RIO DE JANEIRO;2;-22.970.372;-4.318.570.829.999.990
AMANDA BRANDAO ARMELAU;5;ESCOLA MUNICIPAL DOM AQUINO CORREA - BR 204;RUA BARATA RIBEIRO, 204,;RIO DE JANEIRO;5;-229.650.139;-4.318.073.529.999.990
AMANDA BRANDAO ARMELAU;5;ESCOLA MUNICIPAL DOUTOR CÍCERO PENNA - A 1976;AV. ATLÂNTICA, 1976,;RIO DE JANEIRO;21;-22.968.618;-4.318.119.739.999.990
AMANDA BRANDAO ARMELAU;5;ESCOLA MUNICIPAL ROMA - PÇ LIDO;PRAÇA BERNARDELLI (LIDO), S/N,;RIO DE JANEIRO;29;-229.651.462;-431.761.682
AMANDA BRANDAO ARMELAU;5;ESCOLA MUNICIPAL SÃO TOMAS DE AQUINO - PÇ AJN;PRAÇA ALMIRANTE JULIO DE NORONHA, S/N,;RIO DE JANEIRO;30;-229.614.522;-431.650.339
AMANDA BRANDAO ARMELAU;5;EXTERNATO SANTO ANTÔNIO - NSC 437;AV. NOSSA SENHORA DE COPACABANA, 437,;RIO DE JANEIRO;6;-229.678.346;-431.822.664
AMANDA BRANDAO ARMELAU;5;HOTEL ATLANTICO - SCA 90;RUA SIQUEIRA CAMPOS, 90;RIO DE JANEIRO;9;-229.668.796;-431.862.024
AMANDA BRANDAO ARMELAU;5;HOTEL HILTON - A 1020;AVENIDA  ATLANTICA, 1020;RIO DE JANEIRO;6;-229.719.754;-431.877.377
AMANDA BRANDAO ARMELAU;5;HOTEL MARRIOTT - A 2600;AVENIDA  ATLANTICA, 2600;RIO DE JANEIRO;4;-229.722.307;-431.858.418
AMANDA BRANDAO ARMELAU;5;HOTEL PESTANA - A 2964;AVENIDA ATLANTICA, N 2964;RIO DE JANEIRO;9;-229.749.894;-431.879.551
AMANDA BRANDAO ARMELAU;5;HOTEL WINDSOR CALIFORNIA  - A 2616;AVENIDA  ATLANTICA, 2616;RIO DE JANEIRO;2;-22.972.481;-43.185.899
AMANDA BRANDAO ARMELAU;5;INSS - NSC 1032;AV. NOSSA SENHORA DE COPACABANA, 1032;RIO DE JANEIRO;6;-229.775.792;-431.908.519
AMANDA BRANDAO ARMELAU;5;INSS - NSC 1049;AV. NOSSA SENHORA DE COPACABANA, 1049-A,;RIO DE JANEIRO;15;-229.783.399;-431.908.761
AMANDA BRANDAO ARMELAU;5;INSS - RC 20;RUA RAIMUNDO CORREA, 20,;RIO DE JANEIRO;7;-229.718.476;-431.883.662
AMANDA BRANDAO ARMELAU;5;INSTITUTO BRASIL-ESTADOS UNIDOS (IBEU) - NSC 690;AV. NOSSA SENHORA DE COPACABANA, 690,;RIO DE JANEIRO;7;-229.709.036;-431.870.008
AMANDA BRANDAO ARMELAU;5;INSTITUTO DE EDUCAÇÃO GALILEU GALILEI - CJ 254;RUA CINCO DE JULHO, 254,;RIO DE JANEIRO;14;-229.713.306;-431.907.054
AMANDA BRANDAO ARMELAU;5;LEME TENIS CLUBE - GS 74;RUA GUSTAVO SAMPAIO, 74,;RIO DE JANEIRO;21;-22.961.645;-431.662.775
AMANDA BRANDAO ARMELAU;5;SENAC - PL 45;RUA POMPEU LOUREIRO, 45,;RIO DE JANEIRO;10;-229.735.183;-431.923.179
AMANDA BRANDAO ARMELAU;5;SESC - DF 160;RUA DOMINGOS FERREIRA, 160,;RIO DE JANEIRO;11;-229.731.817;-431.874.231
AMANDA BRANDAO ARMELAU;7;8ª REGIÃO ADMINISTRATIVA;RUA DESEMBARGADOR IZIDRO 41;RIO DE JANEIRO;2;-229.267.235;-432.326.021
AMANDA BRANDAO ARMELAU;7;BANCO BRADESCO S/A (ESQ. R. URUGUAI);RUA CONDE DE BONFIM 682-A;RIO DE JANEIRO;13;-229.319.546;-432.407.536
AMANDA BRANDAO ARMELAU;7;BANCO BRADESCO S/A (PRAÇA);RUA CONDE DE BONFIM 372;RIO DE JANEIRO;3;-229.244.502;-432.335.208
AMANDA BRANDAO ARMELAU;7;BANCO BRADESCO S/A (R. PINTO DE FIGUEIREDO);RUA PINTO DE FIGUEIREDO 64;RIO DE JANEIRO;14;-2.292.556;-4.323.475
AMANDA BRANDAO ARMELAU;7;BANCO DO BRASIL (PRAÇA);RUA CONDE DE BONFIM 369 A;RIO DE JANEIRO;8;-229.249.729;-432.335.544
AMANDA BRANDAO ARMELAU;7;BANCO ITAÚ S/A (ESQ. R. URUGUAI);RUA CONDE DE BONFIM, 719 LOJAS A E B;RIO DE JANEIRO;14;-229.329.032;-432.411.914
AMANDA BRANDAO ARMELAU;7;BANCO ITAÚ S/A (PRÓX. PRIX);RUA CONDE DE BONFIM, 807;RIO DE JANEIRO;6;-229.351.574;-432.433.943
AMANDA BRANDAO ARMELAU;7;BANCO SANTANDER S/A (ESQ. R. JOSÉ HIGINO);RUA CONDE DE BONFIM 580;RIO DE JANEIRO;2;-229.298.843;-432.375.092
AMANDA BRANDAO ARMELAU;7;BANCO SANTANDER S/A (PRÓX. HORTIFRUTI);RUA CONDE DE BONFIM 193;RIO DE JANEIRO;16;-229.248.008;-432.279.686
AMANDA BRANDAO ARMELAU;7;BANCO SANTANDER S/A (PRÓX. TIJUCOR);RUA CONDE DE BONFIM 149;RIO DE JANEIRO;2;-229.252.612;-4.322.630.170.000.000
AMANDA BRANDAO ARMELAU;7;BRASAS ENGLISH COURSE;RUA GUAPIARA, 82, TIJUCA;RIO DE JANEIRO;4;-229.269;-43.232.389
AMANDA BRANDAO ARMELAU;7;CAIXA ECONÔMICA FEDERAL (PRÓX. GRANADO);RUA CONDE DE BONFIM 302 A;RIO DE JANEIRO;4;-22.923.051;-43.231.553
AMANDA BRANDAO ARMELAU;7;CAIXA ECONÔMICA FEDERAL (PRÓX. KALUNGA);RUA CONDE DE BONFIM 604;RIO DE JANEIRO;7;-229.304.364;-432.383.589
AMANDA BRANDAO ARMELAU;7;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;RUA DR. OTAVIO KELLY 110;RIO DE JANEIRO;6;-229.306.452;-432.433.478
AMANDA BRANDAO ARMELAU;7;CIEP SAMUEL WAINER;AV. HEITOR BELTRÃO S/N;RIO DE JANEIRO;22;-229.212.675;-432.280.554
AMANDA BRANDAO ARMELAU;7;COLÉGIO BATISTA SHEPARD;RUA JOSÉ HIGINO 416;RIO DE JANEIRO;26;-229.313.904;-43.235.301
AMANDA BRANDAO ARMELAU;7;COLÉGIO DOS SANTOS ANJOS;RUA DEZOITO DE OUTUBRO 95;RIO DE JANEIRO;22;-229.363.174;-432.412.656
AMANDA BRANDAO ARMELAU;7;COLÉGIO ELZA CAMPOS;RUA ANTÔNIO BASÍLIO 135;RIO DE JANEIRO;3;-229.254.605;-432.361.295
AMANDA BRANDAO ARMELAU;7;COLÉGIO MARISTA SÃO JOSÉ;RUA CONDE DE BONFIM, 1067;RIO DE JANEIRO;41;-229.420.127;-432.507.531
AMANDA BRANDAO ARMELAU;7;COLÉGIO SANTA TERESA DE JESUS;RUA SÃO FRANCISCO XAVIER 11;RIO DE JANEIRO;28;-229.218.417;-432.219.397
AMANDA BRANDAO ARMELAU;7;ESCOLA MUNICIPAL ALMIRANTE BARROSO;RUA HOMEM DE MELO 292;RIO DE JANEIRO;21;-229.342.569;-432.391.346
AMANDA BRANDAO ARMELAU;7;ESCOLA MUNICIPAL ARAÚJO PORTO ALEGRE;ESTRADA VELHA DA TIJUCA 181;RIO DE JANEIRO;12;-229.479.675;-432.581.396
AMANDA BRANDAO ARMELAU;7;ESCOLA MUNICIPAL BARÃO DE ITACURUSSÁ;RUA ANDRADE NEVES 481;RIO DE JANEIRO;30;-229.335.142;-432.395.735
AMANDA BRANDAO ARMELAU;7;ESCOLA MUNICIPAL GENERAL EUCLYDES DE FIGUEIREDO;RUA ALZIRA BRANDÃO 500;RIO DE JANEIRO;17;-22.920.186;-432.247.887
AMANDA BRANDAO ARMELAU;7;ESCOLA MUNICIPAL LAUDÍMIA TROTTA;RUA ANTÔNIO BASÍLIO 370;RIO DE JANEIRO;12;-229.267.342;-432.379.361
AMANDA BRANDAO ARMELAU;7;ESCOLA MUNICIPAL PRUDENTE DE MORAES;RUA ENES DE SOUSA 36;RIO DE JANEIRO;18;-229.291.057;-432.329.288
AMANDA BRANDAO ARMELAU;7;ESCOLA MUNICIPAL SOARES PEREIRA;AVENIDA MARACANÃ, 1450;RIO DE JANEIRO;37;-229.327.173;-432.432.096
AMANDA BRANDAO ARMELAU;7;ESCOLA OGA MITÁ;RUA CONDE DE BONFIM, 1305;RIO DE JANEIRO;13;-229.458.605;-43.254.233
AMANDA BRANDAO ARMELAU;7;ESCOLA PALAS (R. CONDE DE BONFIM);RUA CONDE DE BONFIM 774;RIO DE JANEIRO;7;-229.340.868;-432.428.154
AMANDA BRANDAO ARMELAU;7;ESCOLA PALAS (R. JOSÉ HIGINO);RUA JOSÉ HIGINO 273;RIO DE JANEIRO;7;-229.292.848;-432.386.231
AMANDA BRANDAO ARMELAU;7;ESCOLA PALAS (R. SÃO RAFAEL);RUA SAO RAFAEL 38;RIO DE JANEIRO;9;-229.445.609;-43.255.565
AMANDA BRANDAO ARMELAU;7;IBEU - INSTITUTO BRASIL ESTADOS UNIDOS;RUA MARIA AMÁLIA 116;RIO DE JANEIRO;12;-229.274.055;-432.411.554
AMANDA BRANDAO ARMELAU;7;IGREJA NOSSA SENHORA DO LÍBANO;RUA CONDE DE BONFIM 638;RIO DE JANEIRO;10;-229.312.282;-432.391.125
AMANDA BRANDAO ARMELAU;7;INSTITUTO BRAGA CARNEIRO;RUA DOS ARAÚJOS 31;RIO DE JANEIRO;15;-229.261.587;-432.267.352
AMANDA BRANDAO ARMELAU;7;INSTITUTO TOCANDO EM VOCE;RUA GENERAL ROCA, 362;RIO DE JANEIRO;5;-229.267.203;-432.302.592
AMANDA BRANDAO ARMELAU;7;JARDIM ESCOLA MUNDO INFANTIL;RUA MARIA AMÁLIA 188;RIO DE JANEIRO;21;-229.272.966;-432.418.713
AMANDA BRANDAO ARMELAU;7;MONTANHA CLUBE;ESTRADA VELHA DA TIJUCA 447;RIO DE JANEIRO;18;-22.949.736;-4.325.942.300.000.000
AMANDA BRANDAO ARMELAU;7;REDE MV1 - COLÉGIO MV1 JÚNIOR;RUA URUGUAI, 490;RIO DE JANEIRO;22;-229.339.976;-432.403.703
AMANDA BRANDAO ARMELAU;7;TIJUCA TÊNIS CLUBE;RUA CONDE DE BONFIM 451;RIO DE JANEIRO;43;-229.268.083;-432.350.463
AMANDA BRANDAO ARMELAU;8;BANCO DO BRASIL;RUA LINO TEIXEIRA, N 112;RIO DE JANEIRO;36;-22.894.711;-432.546.348
AMANDA BRANDAO ARMELAU;8;CEFET - MARIA DA GRAÇA;RUA MIGUEL ÂNGELO, 96;RIO DE JANEIRO;14;-228.822.602;-432.588.946
AMANDA BRANDAO ARMELAU;8;CENTRO CULTURAL EDUCAR;RUA MOSSORO 107;RIO DE JANEIRO;9;-228.975.254;-43.274.739
AMANDA BRANDAO ARMELAU;8;CIEP CHANCELER WILLY BRANDT;RUA ÁLVARO SEIXAS, S/N;RIO DE JANEIRO;25;-22.893.326;-432.621.482
AMANDA BRANDAO ARMELAU;8;CIEP VINÍCIUS DE MORAES;AV. DOM HÉLDER CÂMARA 1715;RIO DE JANEIRO;24;-228.851.368;-432.540.169
AMANDA BRANDAO ARMELAU;8;COLEGIO CELIO RODRIGUES;RUA FERREIRA DE ANDRADE, 629;RIO DE JANEIRO;16;-228.905.072;-432.710.935
AMANDA BRANDAO ARMELAU;8;COLEGIO ERNANI CARDOSO;RUA MARQUES DE LEAO 9  ;RIO DE JANEIRO;6;-229.029.831;-432.712.937
AMANDA BRANDAO ARMELAU;8;COLEGIO HELIO ALONSO;RUA LUCIDIO LAGO 427  ;RIO DE JANEIRO;21;-228.994.645;-432.744.434
AMANDA BRANDAO ARMELAU;8;COLEGIO SANTA MONICA;RUA HERMINIA 2  ;RIO DE JANEIRO;21;-22.893.126;-432.722.857
AMANDA BRANDAO ARMELAU;8;COMLURB COMPANHIA MUNICIPAL DE LIMPEZA URBANA;RUA RIO GRANDE DO SUL 26/28  ;RIO DE JANEIRO;2;-228.984.348;-432.760.258
AMANDA BRANDAO ARMELAU;8;DIVISAO LOCAL DE SEGUROS SOCIAIS DO INSS;RUA ARISTIDES CAIRE 218  ;RIO DE JANEIRO;7;-228.970.487;-432.754.549
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL DELFIM MOREIRA;PRAÇA UBAJARA 28;RIO DE JANEIRO;20;-228.939.775;-432.522.025
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL GEORGE SUMMER;RUA ANA NÉRI 2028;RIO DE JANEIRO;20;-229.006.938;-432.555.313
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL JEAN MERMOZ;RUA SÃO GABRIEL, 261;RIO DE JANEIRO;7;-228.868.204;-432.735.006
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL JOSÉ LINS DO REGO;RUA REGINALDO PARDELHAS, S/N;RIO DE JANEIRO;15;-22.890.587;-43.266.334
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL MANOEL BOMFIM;RUA BRAQUE 31  ;RIO DE JANEIRO;36;-228.847.347;-432.741.884
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL MEDEIROS E ALBUQUERQUE;RUA BOLÍVIA 62;RIO DE JANEIRO;12;-228.996.789;-432.690.323
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL PERNAMBUCO;RUA CONDE DE AZAMBUJA 579;RIO DE JANEIRO;32;-22.884.319;-43.262.603
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL PROFESSOR VISITACAO;RUA FERREIRA DE ANDRADE 209  ;RIO DE JANEIRO;15;-228.939.924;-432.728.855
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL RIO DE JANEIRO;RUA PEÇANHA DA SILVA 165;RIO DE JANEIRO;18;-228.931.776;-432.646.751
AMANDA BRANDAO ARMELAU;8;ESCOLA MUNICIPAL THOMAS MANN;RUA FERREIRA DE ANDRADE 195  ;RIO DE JANEIRO;20;-228.939.193;-4.327.268.040.000.000
